element,kickoff_time,fixture,opponent_team,total_points,was_home,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,opponent,opponent_short,position_short,team,team_short,first_name,last_name,web_name,selected_by_percent,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,chance_playing_tr,chance_playing_nx,news,form,round_points,shots,xG,time,position,date,xA,key_passes,npg,npxG,xGChain,xGBuildup,player_id,code
254,2021-02-13,234,9,7,False,3.0,1.0,24,90,1,0,0,3,0,0,0,0,0,0,0,23,38.2,18.9,48.0,10.5,12.6,-151539,3391563,56204,207743,Leicester,LEI,MID,Liverpool,LIV,Mohamed,Salah,Salah,28.8,0.0,2.0,2.0,100.0,100.0,,2.4,0,3,0.4378308951854706,90,FWR,2021-02-13,0.087617240846157,1,1,0.4378308951854706,0.5814911723136902,0.0845149755477905,1250.0,118748
254,2021-02-20,244,7,2,True,0.0,2.0,25,90,0,0,0,2,0,0,0,0,0,0,0,6,11.0,16.7,45.0,7.3,12.6,45690,3470984,99214,53524,Everton,EVE,MID,Liverpool,LIV,Mohamed,Salah,Salah,28.8,0.0,2.0,2.0,100.0,100.0,,2.4,0,1,0.482451319694519,90,FWR,2021-02-20,0.028156878426671,1,0,0.482451319694519,0.542215883731842,0.0316076539456844,1250.0,118748
254,2021-02-28,256,15,3,False,0.0,2.0,26,90,0,0,1,0,0,0,0,0,0,0,0,10,8.6,19.6,48.0,7.6,12.6,-144540,3327142,71659,216199,Sheffield Utd,SHU,MID,Liverpool,LIV,Mohamed,Salah,Salah,28.8,0.0,2.0,2.0,100.0,100.0,,2.4,0,3,0.7913593053817749,90,FWR,2021-02-28,0.0312390998005867,1,0,0.7913593053817749,1.7517247200012207,0.9291263222694396,1250.0,118748
254,2021-03-04,283,5,2,True,0.0,1.0,26,61,0,0,0,1,0,0,0,0,0,0,0,10,10.6,15.4,10.0,3.6,12.6,-144540,3327142,71659,216199,Chelsea,CHE,MID,Liverpool,LIV,Mohamed,Salah,Salah,28.8,0.0,2.0,2.0,100.0,100.0,,2.4,0,1,0.0190670695155859,63,FWR,2021-03-04,0.0327437445521354,1,0,0.0190670695155859,0.0518108122050762,0.0,1250.0,118748
254,2021-03-07,263,8,2,True,0.0,1.0,27,90,0,0,0,1,0,0,0,0,0,0,0,-2,0.0,4.6,62.0,6.3,12.6,-178728,3157978,42890,221618,Fulham,FUL,MID,Liverpool,LIV,Mohamed,Salah,Salah,28.8,0.0,2.0,2.0,100.0,100.0,,2.4,0,3,0.1675014048814773,90,FW,2021-03-07,0.0,0,0,0.1675014048814773,0.241031214594841,0.073529802262783,1250.0,118748
254,2021-03-15,278,20,3,False,0.0,1.0,28,90,0,0,1,0,0,0,0,0,0,0,0,-2,2.2,14.5,34.0,5.1,12.5,-500304,2659236,16780,517084,Wolves,WOL,MID,Liverpool,LIV,Mohamed,Salah,Salah,28.8,0.0,2.0,2.0,100.0,100.0,,2.4,0,3,0.2274399250745773,90,FWR,2021-03-15,0.0973278656601905,1,0,0.2274399250745773,0.6666732430458069,0.3419054448604584,1250.0,118748
302,2020-09-19,15,6,2,True,1.0,3.0,2,90,0,0,0,3,0,0,0,0,0,0,0,13,25.6,78.4,25.0,12.9,10.5,451998,1623046,525858,73860,Crystal Palace,CRY,MID,Man Utd,MUN,Bruno Miguel,Borges Fernandes,Fernandes,55.6,2.0,1.0,1.0,0.0,100.0,,6.2,0,3,0.1287523955106735,90,AMC,2020-09-19,0.1040067374706268,5,0,0.1287523955106735,0.1255405396223068,0.0662679374217987,1228.0,141746
302,2020-09-26,19,3,12,False,2.0,3.0,3,90,1,1,0,2,0,0,0,1,0,0,3,40,60.6,40.8,19.0,12.0,10.5,-274258,1344788,80386,354644,Brighton,BHA,MID,Man Utd,MUN,Bruno Miguel,Borges Fernandes,Fernandes,55.6,2.0,1.0,1.0,0.0,100.0,,6.2,0,1,0.7611688375473022,90,AMC,2020-09-26,0.6000801920890808,2,0,0.0,0.5756574869155884,0.0166203286498785,1228.0,141746
302,2020-10-04,35,17,6,True,1.0,6.0,4,45,1,0,0,4,0,0,0,0,0,0,0,21,35.4,16.6,23.0,7.5,10.5,76237,1473422,187021,110784,Spurs,TOT,MID,Man Utd,MUN,Bruno Miguel,Borges Fernandes,Fernandes,55.6,2.0,1.0,1.0,0.0,100.0,,6.2,0,1,0.7611688375473022,49,AMC,2020-10-04,0.021867660805583,1,0,0.0,0.021867660805583,0.0,1228.0,141746
302,2020-10-17,45,14,11,False,1.0,4.0,5,90,1,1,0,1,0,0,1,0,0,0,3,49,85.4,78.7,56.0,22.0,10.5,-1258,1508759,192662,193920,Newcastle,NEW,MID,Man Utd,MUN,Bruno Miguel,Borges Fernandes,Fernandes,55.6,2.0,1.0,1.0,0.0,100.0,,6.2,0,5,0.9601434469223022,90,AMC,2020-10-17,0.4887646734714508,6,1,0.1989745944738388,0.8737433552742004,0.2110112607479095,1228.0,141746
302,2020-10-24,55,5,3,True,0.0,0.0,6,90,0,0,1,0,0,0,0,0,0,0,0,14,18.6,60.9,16.0,9.6,10.5,85046,1609144,163779,78733,Chelsea,CHE,MID,Man Utd,MUN,Bruno Miguel,Borges Fernandes,Fernandes,55.6,2.0,1.0,1.0,0.0,100.0,,6.2,0,3,0.0944333598017692,90,AMC,2020-10-24,0.1285741478204727,4,0,0.0944333598017692,0.3261359930038452,0.1731484085321426,1228.0,141746
302,2020-11-01,64,1,2,True,0.0,1.0,7,74,0,0,0,1,0,0,0,0,0,0,0,7,9.2,17.5,8.0,3.5,10.5,-17677,1601697,68832,86509,Arsenal,ARS,MID,Man Utd,MUN,Bruno Miguel,Borges Fernandes,Fernandes,55.6,2.0,1.0,1.0,0.0,100.0,,6.2,0,1,0.0098008513450622,75,AMC,2020-11-01,0.0590582564473152,1,0,0.0098008513450622,0.125059425830841,0.1152585744857788,1228.0,141746
302,2020-11-07,73,7,17,False,1.0,3.0,8,90,2,1,0,1,0,0,0,1,0,0,3,51,93.6,21.2,58.0,17.3,10.5,-108368,1495550,38692,147060,Everton,EVE,MID,Man Utd,MUN,Bruno Miguel,Borges Fernandes,Fernandes,55.6,2.0,1.0,1.0,0.0,100.0,,6.2,0,6,0.369879812002182,90,AMC,2020-11-07,0.4181309044361114,1,2,0.369879812002182,0.7484704852104187,0.2731220722198486,1228.0,141746
302,2020-11-21,84,18,11,True,1.0,0.0,9,90,1,0,1,0,0,0,0,0,0,0,3,44,58.0,86.5,56.0,20.1,10.7,1033358,2644080,1055501,22143,West Brom,WBA,MID,Man Utd,MUN,Bruno Miguel,Borges Fernandes,Fernandes,55.6,2.0,1.0,1.0,0.0,100.0,,6.2,0,4,0.8740449547767639,90,AMC,2020-11-21,1.1748090982437134,6,0,0.112912930548191,1.291654348373413,0.1110537126660347,1228.0,141746
302,2020-11-29,96,16,10,False,2.0,3.0,10,90,1,1,0,2,0,0,0,0,0,0,0,26,35.6,20.1,54.0,11.0,10.8,241785,2832510,298414,56629,Southampton,SOU,MID,Man Utd,MUN,Bruno Miguel,Borges Fernandes,Fernandes,55.6,2.0,1.0,1.0,0.0,100.0,,6.2,0,6,0.9385091066360474,90,AMC,2020-11-29,0.4046404063701629,1,1,0.9385091066360474,1.3095059394836426,0.0,1228.0,141746
302,2020-12-05,108,19,6,False,1.0,3.0,11,45,0,1,0,0,0,0,0,0,0,0,2,31,35.2,87.0,0.0,12.2,10.9,242451,3103036,283987,41536,West Ham,WHU,MID,Man Utd,MUN,Bruno Miguel,Borges Fernandes,Fernandes,55.6,2.0,1.0,1.0,0.0,100.0,,6.2,0,0,0.0,43,Sub,2020-12-05,1.0379754304885864,8,0,0.0,1.5460559129714966,1.0077967643737793,1228.0,141746
302,2020-12-12,115,12,3,True,0.0,0.0,12,90,0,0,1,0,0,0,0,0,0,0,0,7,17.2,27.7,37.0,8.2,10.9,-32910,3049874,124346,157256,Man City,MCI,MID,Man Utd,MUN,Bruno Miguel,Borges Fernandes,Fernandes,55.6,2.0,1.0,1.0,0.0,100.0,,6.2,0,4,0.190546378493309,90,AMC,2020-12-12,0.10356405377388,2,0,0.190546378493309,0.3589137196540832,0.2224642038345337,1228.0,141746
302,2020-12-17,124,15,2,False,2.0,3.0,13,79,0,0,0,1,0,0,0,0,0,0,0,7,6.6,15.9,1.0,2.4,11.0,173773,3258678,211622,37849,Sheffield Utd,SHU,MID,Man Utd,MUN,Bruno Miguel,Borges Fernandes,Fernandes,55.6,2.0,1.0,1.0,0.0,100.0,,6.2,0,1,0.0094508090987801,82,AMC,2020-12-17,0.0074616689234972,1,0,0.0094508090987801,0.2919725179672241,0.2919725179672241,1228.0,141746
302,2020-12-20,134,10,17,True,6.0,2.0,14,70,2,1,0,1,0,0,0,0,0,0,2,64,94.0,36.9,54.0,18.5,11.0,-5647,3248370,83501,89148,Leeds,LEE,MID,Man Utd,MUN,Bruno Miguel,Borges Fernandes,Fernandes,55.6,2.0,1.0,1.0,0.0,100.0,,6.2,0,5,1.0553767681121826,73,AMC,2020-12-20,0.3863045573234558,3,1,0.294207900762558,0.7204156517982483,0.1580198258161544,1228.0,141746
302,2020-12-26,143,9,12,False,2.0,2.0,15,90,1,1,0,2,0,0,0,1,0,0,3,39,58.4,40.4,47.0,14.6,11.0,88219,3359878,201910,113691,Leicester,LEI,MID,Man Utd,MUN,Bruno Miguel,Borges Fernandes,Fernandes,55.6,2.0,1.0,1.0,0.0,100.0,,6.2,0,3,0.8285467624664307,90,AMC,2020-12-26,0.8771678805351257,3,1,0.8285467624664307,1.4092265367507937,0.0,1228.0,141746
302,2020-12-29,154,20,6,True,1.0,0.0,16,90,0,1,1,0,0,0,0,0,0,0,0,16,35.6,45.2,55.0,13.6,11.1,264327,3644822,276147,11820,Wolves,WOL,MID,Man Utd,MUN,Bruno Miguel,Borges Fernandes,Fernandes,55.6,2.0,1.0,1.0,0.0,100.0,,6.2,0,3,0.5090652704238892,90,AMC,2020-12-29,0.1218520700931549,3,0,0.5090652704238892,0.6823318600654602,0.5449541211128235,1228.0,141746
302,2021-01-01,164,2,10,True,2.0,1.0,17,86,1,0,0,1,0,0,0,0,0,0,3,34,47.4,55.7,52.0,15.5,11.2,213222,3869250,229413,16191,Aston Villa,AVL,MID,Man Utd,MUN,Bruno Miguel,Borges Fernandes,Fernandes,55.6,2.0,1.0,1.0,0.0,100.0,,6.2,0,5,0.8477742075920105,88,AMC,2021-01-01,0.3969109952449798,5,0,0.0866053700447082,0.9052190780639648,0.4646670222282409,1228.0,141746
302,2021-01-12,379,4,2,False,0.0,1.0,18,88,0,0,1,0,0,0,0,1,0,0,0,13,20.2,30.9,41.0,9.2,11.3,271408,4398545,294187,22779,Burnley,BUR,MID,Man Utd,MUN,Bruno Miguel,Borges Fernandes,Fernandes,55.6,2.0,1.0,1.0,0.0,100.0,,6.2,0,4,0.1514353603124618,90,AMC,2021-01-12,0.0937300622463226,1,0,0.1514353603124618,0.6579015254974365,0.4127361178398132,1228.0,141746
